,size,H,name,slope,intercept,r_value
172,11500,0.8,0.80_4,-0.470285733831996,135.11911237057174,-0.14810266222934276
173,12000,0.8,0.80_4,-0.4758516582283391,149.77228248004417,-0.12809623702462541
174,12500,0.8,0.80_4,-0.23939676058808973,174.98175124655575,-0.05406722250048126
175,13000,0.8,0.80_4,-0.22593237822708395,180.14525836428396,-0.0494275011095754
176,13500,0.8,0.80_4,-0.2777478306803061,177.42692005990907,-0.0615656241045236
177,14000,0.8,0.80_4,-0.3112221923553681,174.8553029323671,-0.06939002462348624
178,14500,0.8,0.80_4,-0.34890276488565436,171.0370649190198,-0.07781808547936789
179,15000,0.8,0.80_4,-0.35975780160971443,167.01933226985452,-0.0800036842118444
180,15500,0.8,0.80_4,-0.3477010902456464,166.62050295174194,-0.07720803934629818
181,16000,0.8,0.80_4,-0.3547719823239276,163.78816497575968,-0.07859506509660538
182,16500,0.8,0.80_4,-0.34981632134417845,161.33046668473676,-0.07735082857487406
183,17000,0.8,0.80_4,-0.29476708970697474,157.3139229347702,-0.06602014858108132
184,17500,0.8,0.80_4,-0.20170463719012144,151.88029321067341,-0.04638409711639545
185,18000,0.8,0.80_4,-0.25655624217860257,157.66828632908104,-0.06130299966146078
186,18500,0.8,0.80_4,-0.23913955853801616,158.5346578714776,-0.05831902056881954
187,19000,0.8,0.80_4,-0.2618901545975167,161.49118131771291,-0.0632470455708082
188,19500,0.8,0.80_4,-0.2463131903202158,160.82740778409814,-0.05906405241003476
189,20000,0.8,0.80_4,-0.20594604898567762,157.2636157547136,-0.04968566243168445
190,20500,0.8,0.80_4,-0.17296949645844292,154.39618006043054,-0.04179719355613961
191,21000,0.8,0.80_4,-0.12008086417751221,150.7289036963992,-0.029324802012158178
192,21500,0.8,0.80_4,-0.07088296788158918,147.687568490167,-0.017538254054434075
193,22000,0.8,0.80_4,-0.030228435445424008,145.50840724668967,-0.007599506000863759
194,22500,0.8,0.80_4,0.00899776513230094,143.16346355886213,0.0022832836227547845
195,23000,0.8,0.80_4,0.05914031385599213,140.32069621450898,0.015204792832823512
196,23500,0.8,0.80_4,0.11273473769916696,137.91295945033386,0.029622842020109223
197,24000,0.8,0.80_4,0.14849061658968588,136.36145829284263,0.0398486006410095
198,24500,0.8,0.80_4,0.17311053339119983,135.4526980620734,0.04757034178718511
199,25000,0.8,0.80_4,0.1920039811085751,135.35600557977529,0.053780466514529134
200,500,0.8,0.80_5,1.1363040599975507,24.68667624210243,0.22355822918310958
201,1000,0.8,0.80_5,-0.18104359228770406,19.230763677303653,-0.08472794783599381
202,1500,0.8,0.80_5,0.09514016327523418,23.825953367359944,0.04827276538225332
203,2000,0.8,0.80_5,-0.15244656392023814,40.303746415692565,-0.02950211019417081
204,2500,0.8,0.80_5,0.3525465062551563,81.17173559796542,0.06360393882512347
205,3000,0.8,0.80_5,0.22991675248160737,87.7295705224311,0.055991552836900986
206,3500,0.8,0.80_5,-0.2794336319620634,81.99904633437666,-0.09376412158820999
207,4000,0.8,0.80_5,-0.40791819485084363,79.82761452724954,-0.15790463045761333
208,4500,0.8,0.80_5,-0.43594126030470826,79.03486888833956,-0.1795415306833503
209,5000,0.8,0.80_5,-0.42452486202320294,76.9530947706339,-0.1750008142451747
210,5500,0.8,0.80_5,-0.29193724615446137,71.22894252202639,-0.13113650794241014
211,6000,0.8,0.80_5,-0.38251093933049196,82.636665888632,-0.1673181451608899
212,6500,0.8,0.80_5,-0.19559386143004456,78.52124698925115,-0.09055549004227541
213,7000,0.8,0.80_5,-0.0637085749267343,76.3077613644037,-0.0325183027636097
214,7500,0.8,0.80_5,-0.3932047866568854,102.70254354460884,-0.14590277882784677
215,8000,0.8,0.80_5,-0.3443919396816253,107.56625038830528,-0.1176012775457673
216,8500,0.8,0.80_5,-0.287208002452354,110.15760545900153,-0.0918064123863894
217,9000,0.8,0.80_5,-0.3221752439162923,132.90248449453796,-0.08114122359780727
218,9500,0.8,0.80_5,-0.3195355313773019,136.11789390234873,-0.07526884955166062
219,10000,0.8,0.80_5,-0.1837256450459257,155.1070746960333,-0.037973471787861965
220,10500,0.8,0.80_5,-0.2399142617810633,154.2553111638996,-0.04934501367468942
